Front,Obj1,Obj2
41,0.4514,-0.0183743
41,0.430834,0.0859187
41,0.372934,0.16559
41,0.363327,0.228897
41,0.293116,0.327235
41,0.246175,0.365921
41,0.150941,0.420971
41,0.0976443,0.428679
41,-0.000292483,0.43909
41,-0.0285667,0.490086
42,0.516497,-0.645082
42,0.515803,-0.286614
42,0.470615,-0.144987
42,0.350614,0.166942
42,0.313682,0.222942
42,0.199782,0.265682
42,0.139581,0.381336
42,0.0393425,0.427729
42,-0.0895717,0.444496
42,-0.192513,0.44625
42,-0.208477,0.478579
43,0.443839,-0.291216
43,0.410962,-0.168257
43,0.33845,-0.0339361
43,0.274997,0.176001
43,0.150138,0.259728
43,0.115508,0.279746
43,0.112256,0.37403
43,-0.213883,0.389299
43,-0.242157,0.440295
44,0.438433,-0.380496
44,0.359564,-0.277152
44,0.314377,-0.135526
44,0.302468,-0.0362375
44,0.247673,0.168695
44,0.137426,0.197773
44,0.121462,0.230102
44,0.104147,0.240111
44,0.0539545,0.37308
44,-0.414761,0.401464
45,0.42751,-1.07877
45,0.395291,-0.575018
45,0.365117,-0.407418
45,0.307619,-0.247125
45,0.281646,-0.232111
45,0.272039,-0.168805
45,0.241317,0.137718
45,0.118759,0.185463
45,0.0508495,0.247819
45,0.0166209,0.348459
45,-0.112293,0.365226
45,-0.295856,0.367381
46,0.316423,-0.471674
46,0.295454,-0.448003
46,0.271235,-0.330048
46,0.212385,-0.192074
46,0.211435,-0.133773
46,0.188568,0.00650243
46,0.185316,0.100786
46,0.147033,0.134467
46,0.0627584,0.148531
46,0.0554523,0.175855
46,0.0162191,0.267838
46,-0.0976812,0.310577
46,-0.106339,0.315582
46,-0.194266,0.343308
47,0.310359,-0.941742
47,0.285993,-0.604242
47,0.265025,-0.58057
47,0.219436,-0.519565
47,0.201974,-0.290011
47,0.180458,-0.127416
47,0.179508,-0.0691145
47,0.153535,-0.0541008
47,0.152987,0.0848226
47,0.142028,0.125809
47,0.00485835,0.228203
47,-0.102686,0.30192
47,-0.26623,0.338705
48,0.279017,-1.75526
48,0.255016,-0.597885
48,0.189408,-0.571511
48,0.142723,-0.232659
48,0.139471,-0.138375
48,0.138923,0.000548026
48,0.110649,0.0515438
48,0.0883294,0.0528954
48,0.00905938,0.075617
48,-0.00284943,0.174905
48,-0.00650243,0.188568
48,-0.165992,0.292312
48,-0.271235,0.330048
49,0.242851,-0.798764
49,0.184403,-0.580168
49,0.133919,-0.00810957
49,0.109298,0.029224
49,-0.00690422,0.107946
49,-0.149481,0.12106
49,-0.156787,0.148385
49,-0.200075,0.173408
49,-0.207381,0.200732
49,-0.332642,0.203837
49,-0.619146,0.207745
49,-0.764974,0.315143
50,0.180349,-0.647128
50,0.129207,-0.455857
50,0.124604,-0.383893
50,0.0917268,-0.260933
50,0.0729138,-0.053699
50,0.0546488,0.014612
50,0.0236714,0.0209682
50,-0.0159636,0.032329
50,-0.050594,0.0523474
50,-0.054247,0.0660096
50,-0.0665576,0.0846764
50,-0.11485,0.101042
50,-0.176805,0.113754
50,-0.309372,0.144183
50,-0.35266,0.169206
50,-0.836938,0.310541
51,0.160878,-0.820682
51,0.1257,-0.66174
51,0.0982293,-0.449501
51,0.065754,-0.24592
51,0.0625028,-0.151636
51,0.0579,-0.0796718
51,0.0519456,-0.0300276
51,-0.00135159,-0.0223198
51,-0.0446396,0.00270319
51,-0.1139,0.04274
51,-0.165846,0.0727675
51,-0.348057,0.0972425
51,-0.696516,0.113863
51,-0.88428,0.268604
52,0.11423,-1.22109
52,0.0955261,-0.49414
52,0.0795625,-0.461811
52,0.0538452,-0.146631
52,0.0455894,-0.061005
52,-0.0883294,-0.0528954
52,-0.172604,-0.0388314
52,-0.184513,0.0604569
52,-0.486981,0.0966945
53,0.0902659,-0.802965
53,0.0879645,-0.766983
53,0.0774073,-0.645374
53,0.0235621,-0.498743
53,0.0165116,-0.171252
53,0.00189962,-0.116604
53,-0.0154156,-0.106594
53,-0.101992,-0.0565484
53,-0.220897,-0.022466
53,-0.242815,0.0595071
53,-0.658233,0.0801829
54,0.0728414,-1.31267
54,0.0560373,-0.702325
54,0.0195073,-0.565703
54,0.0120551,-0.318833
54,0.00244765,-0.255527
54,-0.0704661,-0.201828
54,-0.141079,-0.184111
54,-0.159344,-0.1158
54,-0.161645,-0.079818
54,-0.244568,-0.0434342
54,-0.283801,0.0485481
54,-0.659585,0.0578631
55,0.0294072,-1.0681
55,0.0237083,-0.718288
55,-0.00241071,-0.483729
55,-0.0329863,-0.396752
55,-0.0818269,-0.241463
55,-0.133773,-0.211435
55,-0.14243,-0.206431
55,-0.190321,-0.109444
55,-0.193974,-0.0957816
55,-0.224951,-0.0894254
55,-0.25823,-0.0470872
55,-0.327491,-0.00705046
55,-0.370779,0.0179725
55,-0.460058,0.0233789
56,0.0229048,-0.879531
56,-0.0164747,-0.568004
56,-0.0433973,-0.494688
56,-0.0716715,-0.443693
56,-0.0885849,-0.353062
56,-0.119562,-0.346706
56,-0.181517,-0.333993
56,-0.201134,-0.288002
56,-0.206686,-0.157736
56,-0.273646,-0.153682
56,-0.310577,-0.0976812
56,-0.354815,-0.0143565
57,0.0101924,-0.941486
57,-0.0236344,-0.760225
57,-0.0255341,-0.643621
57,-0.0824843,-0.622251
57,-0.0984479,-0.589922
57,-0.109005,-0.468314
57,-0.233864,-0.384587
57,-0.269993,-0.167344
57,-0.318285,-0.150978
57,-0.355217,-0.094978
57,-0.369829,-0.0403293
58,0.00398242,-1.19201
58,-0.0268857,-0.665941
58,-0.102503,-0.656881
58,-0.125772,-0.597228
58,-0.127672,-0.480624
58,-0.172311,-0.477921
58,-0.247928,-0.468862
58,-0.25023,-0.43288
58,-0.258887,-0.427875
58,-0.274047,-0.234303
58,-0.34466,-0.216586
58,-0.401208,-0.114595
58,-0.46046,-0.0572427
59,-0.0145381,-1.42386
59,-0.0288946,-1.06905
59,-0.042703,-0.853157
59,-0.046356,-0.839495
59,-0.0519087,-0.709229
59,-0.0678723,-0.6769
59,-0.130375,-0.525264
59,-0.187325,-0.503894
59,-0.256586,-0.463857
59,-0.279856,-0.404204
59,-0.283107,-0.30992
59,-0.295417,-0.291253
59,-0.381993,-0.241207
59,-0.634817,-0.199015
59,-0.720042,-0.12665
59,-1.06214,-0.0790514
60,-0.0406202,-1.92856
60,-0.0454062,-0.897796
60,-0.0627214,-0.887787
60,-0.0746302,-0.788499
60,-0.109261,-0.76848
60,-0.135781,-0.614543
60,-0.2137,-0.569502
60,-0.258339,-0.566799
60,-0.27065,-0.548132
60,-0.300276,-0.519456
60,-0.324093,-0.320879
60,-0.377391,-0.313171
60,-0.394706,-0.303162
60,-0.403363,-0.298158
60,-0.549593,-0.271381
60,-0.575566,-0.256367
60,-0.620205,-0.253664
60,-0.802015,-0.148568
61,-0.0861003,-1.34785
61,-0.089644,-0.814472
61,-0.152147,-0.662836
61,-0.227764,-0.653776
61,-0.340861,-0.449793
61,-0.34276,-0.33319
61,-0.449355,-0.317774
61,-0.678507,-0.254614
61,-0.960956,-0.183746
62,-0.0999088,-1.13195
62,-0.116968,-0.821778
62,-0.188531,-0.745759
62,-0.206796,-0.677448
62,-0.309737,-0.675694
62,-0.347619,-0.561392
62,-0.352221,-0.489428
62,-0.367783,-0.376478
62,-0.378742,-0.335491
62,-0.708535,-0.30656
62,-0.91807,-0.289391
63,-0.103817,-1.41846
63,-0.127781,-1.00034
63,-0.145644,-0.851403
63,-0.201243,-0.807714
63,-0.214503,-0.730745
63,-0.267801,-0.723037
63,-0.381299,-0.599676
63,-0.385098,-0.366469
64,-0.121936,-1.56969
64,-0.133041,-1.30916
64,-0.150357,-1.29915
64,-0.174174,-1.10057
64,-0.190686,-0.929322
64,-0.264951,-0.897943
64,-0.265499,-0.759019
64,-0.291472,-0.744005
64,-0.291472,-0.744005
64,-0.390907,-0.536369
64,-0.400514,-0.473063
64,-0.40782,-0.445739
64,-0.416478,-0.440734
64,-0.453409,-0.384734
65,-0.196348,-1.31877
65,-0.260604,-1.27007
65,-0.274011,-0.97356
65,-0.324203,-0.840591
65,-0.35613,-0.775933
65,-0.404971,-0.620644
65,-0.410925,-0.571
65,-0.458816,-0.474013
65,-0.777247,-0.405446
66,-0.220421,-1.42036
66,-0.281974,-1.32702
66,-0.290631,-1.32202
66,-0.306741,-1.07014
66,-0.332714,-1.05513
66,-0.359235,-0.901194
66,-0.406322,-0.642964
66,-0.459218,-0.554634
66,-0.558104,-0.485922
66,-0.990838,-0.455237
66,-0.999495,-0.450232
66,-1.13206,-0.419803
67,-0.279124,-1.50193
67,-0.319454,-1.1321
67,-0.401025,-1.0734
67,-0.418888,-0.924463
67,-0.426742,-0.758216
67,-0.481939,-0.633904
67,-0.497903,-0.601575
67,-0.517519,-0.555584
67,-0.802672,-0.529356
68,-0.324969,-1.74109
68,-0.335125,-1.53886
68,-0.34813,-1.16173
68,-0.392769,-1.15902
68,-0.421043,-1.10803
68,-0.450816,-0.859805
68,-0.461775,-0.818819
68,-0.509665,-0.721832
68,-0.525629,-0.689503
68,-0.525629,-0.689503
68,-0.536186,-0.567895
69,-0.369901,-1.2993
69,-0.376806,-1.19135
69,-0.437409,-1.15632
69,-0.499108,-0.84344
69,-0.553355,-0.77743
69,-0.557008,-0.763768
69,-0.557556,-0.624845
69,-0.700132,-0.611731
69,-0.757083,-0.590361
69,-0.8327,-0.581301
69,-0.877339,-0.578598
70,-0.386522,-1.64776
70,-0.412495,-1.63274
70,-0.424806,-1.61408
70,-0.480003,-1.48976
70,-0.495966,-1.45744
70,-0.498414,-1.20191
70,-0.526834,-0.931368
70,-0.553757,-0.858052
70,-0.562962,-0.714124
70,-0.57257,-0.650818
70,-0.800772,-0.645959
71,-0.399637,-1.79033
71,-0.464843,-1.68334
71,-0.500423,-1.60502
71,-0.514231,-1.38912
71,-0.534944,-1.06529
71,-0.554159,-0.938674
71,-0.568771,-0.884025
71,-0.59204,-0.824371
71,-0.652242,-0.708718
71,-0.691877,-0.697357
71,-0.748827,-0.675987
71,-0.927385,-0.665174
72,-0.401097,-2.33236
72,-0.441025,-1.88191
72,-0.524094,-1.62598
72,-0.535346,-1.14591
72,-0.549958,-1.09126
72,-0.596899,-1.05257
72,-0.602049,-0.841687
72,-0.668607,-0.75701
72,-0.67226,-0.743348
72,-0.69458,-0.741997
72,-0.803476,-0.690599
72,-0.964719,-0.689795
73,-0.482267,-2.19304
73,-0.504331,-1.89152
73,-0.538049,-1.19055
73,-0.56362,-1.09491
73,-0.604205,-1.02525
73,-0.661155,-1.00388
73,-0.682671,-0.841285
73,-0.71595,-0.798947
73,-0.769247,-0.791239
73,-0.800224,-0.784883
73,-0.828499,-0.733887
73,-1.2266,-0.72322
74,-0.51434,-1.90884
74,-0.554268,-1.45839
74,-0.565227,-1.4174
74,-0.61867,-1.19015
74,-0.651547,-1.06719
74,-0.653849,-1.0312
74,-0.689429,-0.952884
74,-0.733667,-0.869559
74,-0.858928,-0.866454
74,-0.933193,-0.835075
74,-0.980134,-0.79639
74,-1.0034,-0.736736
75,-0.570085,-1.6456
75,-0.574286,-1.49302
75,-0.622579,-1.47665
75,-0.628132,-1.34638
75,-0.678726,-1.29404
75,-0.718909,-1.14375
75,-0.727164,-1.05813
75,-0.783311,-0.875513
75,-0.97418,-0.846034
75,-1.1077,-0.757303
75,-1.23661,-0.740536
76,-0.580752,-2.0437
76,-0.596862,-1.79183
76,-0.619328,-1.57093
76,-0.622981,-1.55727
76,-0.648954,-1.54226
76,-0.653155,-1.38967
76,-0.664114,-1.34869
76,-0.815348,-1.33057
76,-0.816297,-1.27227
76,-0.877595,-0.878765
76,-1.03383,-0.869304
77,-0.59982,-2.13664
77,-0.643108,-2.11161
77,-0.654908,-1.49261
77,-0.665867,-1.45163
77,-0.691438,-1.35599
77,-0.820352,-1.33922
77,-0.843622,-1.27957
77,-0.945906,-0.89703
78,-0.66678,-2.13258
78,-0.701447,-1.37331
78,-0.883658,-1.34883
78,-0.909631,-1.33382
78,-0.951568,-1.28648
78,-1.00461,-0.978601
78,-1.08118,-0.91124
79,-0.701849,-1.45393
79,-0.738781,-1.39793
79,-0.756096,-1.38792
79,-0.84037,-1.37385
79,-1.00256,-1.31475
79,-1.03179,-1.20545
79,-1.06196,-1.03785
79,-1.11256,-0.985505
79,-1.17951,-0.981451
80,-0.709812,-1.80739
80,-0.71131,-1.61017
80,-0.76921,-1.5305
80,-0.77016,-1.47219
80,-0.809795,-1.46083
80,-0.907732,-1.45042
80,-0.911385,-1.43676
80,-0.923695,-1.41809
80,-0.954673,-1.41174
80,-1.00892,-1.34573
80,-1.07508,-1.18043
80,-1.23552,-1.01838
81,-0.710323,-2.40773
81,-0.714671,-2.03559
81,-0.71657,-1.91899
81,-0.737538,-1.89532
81,-0.75405,-1.72407
81,-0.802343,-1.7077
81,-0.831567,-1.5984
81,-0.863494,-1.53375
81,-0.904079,-1.46408
81,-0.959677,-1.42039
81,-1.02163,-1.40768
81,-1.11146,-1.26335
81,-1.19438,-1.22697
81,-1.25418,-1.03069
82,-0.726579,-1.93631
82,-0.792735,-1.77101
82,-0.841576,-1.61572
82,-0.92775,-1.48505
82,-1.14324,-1.41824
82,-1.28151,-1.038
83,-0.742945,-1.9846
83,-0.846982,-1.705
83,-0.949522,-1.62262
83,-0.955476,-1.57298
83,-0.962782,-1.54566
83,-1.04205,-1.52293
83,-1.06667,-1.4856
83,-1.23157,-1.47113
83,-1.34116,-1.06127
83,-1.43044,-1.05586
84,-0.76457,-2.34172
84,-0.867001,-1.73963
84,-1.06938,-1.53024
84,-1.14499,-1.52118
84,-1.34182,-1.44206
84,-1.382,-1.29177
84,-1.44315,-1.11782
85,-0.790652,-2.84641
85,-0.946672,-1.79753
85,-1.00227,-1.75384
85,-1.07979,-1.62818
85,-1.10211,-1.62682
85,-1.20099,-1.55811
85,-1.51051,-1.19438
86,-0.969796,-1.95742
86,-1.00943,-1.94606
86,-1.0883,-1.84272
86,-1.18043,-1.66241
86,-1.48885,-1.57652
86,-1.58003,-1.45451
86,-1.69583,-1.29517
87,-0.985613,-2.14464
87,-1.12008,-1.9976
87,-1.12698,-1.88966
87,-1.18448,-1.72936
87,-1.27741,-1.7103
87,-1.33071,-1.70259
87,-1.72611,-1.64728
88,-1.02496,-2.57237
88,-1.07339,-2.33646
88,-1.0849,-2.15655
88,-1.16567,-1.9366
88,-1.16567,-1.9366
88,-1.25279,-1.74763
89,-1.12655,-2.54829
89,-1.18324,-2.22676
89,-1.22207,-2.05415
89,-1.26171,-2.04279
89,-1.41944,-1.83611
89,-1.43541,-1.80378
90,-1.1839,-2.60754
90,-1.20326,-2.26139
90,-1.32852,-2.25828
90,-1.33407,-2.12802
90,-1.45163,-2.07161
90,-1.57974,-1.8936
91,-1.19201,-2.74146
91,-1.26561,-2.3293
91,-1.33678,-2.17266
91,-1.5961,-1.9419
92,-1.28008,-2.49419
92,-1.33813,-2.19498
92,-1.47205,-2.18687
92,-1.48936,-2.17686
92,-1.7622,-2.16929
93,-1.34865,-2.81262
93,-1.36651,-2.66369
93,-1.36706,-2.52477
93,-1.43997,-2.47107
93,-1.53656,-2.43834
93,-1.57674,-2.28805
93,-1.58134,-2.21609
94,-1.37718,-3.06179
94,-1.4666,-2.83684
94,-1.58105,-2.65518
94,-1.59311,-2.33635
94,-1.61502,-2.25437
94,-1.68063,-2.228
95,-1.61082,-2.40696
96,-1.6296,-2.93898
96,-1.65422,-2.90165
96,-1.67208,-2.75271
96,-1.90394,-2.73419
96,-2.11822,-2.42552
96,-2.16652,-2.40915
97,-1.70777,-3.19411
97,-1.75906,-2.78329
98,-1.8467,-3.19465
98,-1.89283,-2.99473
99,-2.10774,-3.80609
99,-2.1271,-3.45993
100,-2.45591,-4.22856
